epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,236.65,0.60837,0.59385,1.02836,0.98323,1,0.99485,0.8726,0.52201,0.34634,0.89596,0.000511769,0.000511769,0.000511769
142,238.242,0.89689,0.95761,1.14961,0.98279,1,0.99485,0.8828,0.46469,0.37395,0.87606,0.000503517,0.000503517,0.000503517
143,239.821,0.67252,0.56736,0.97275,0.99371,1,0.995,0.89087,0.42401,0.40854,0.85859,0.000495266,0.000495266,0.000495266
144,241.623,0.63583,0.48183,1.05635,0.99661,1,0.995,0.90885,0.39353,0.35037,0.8435,0.000487014,0.000487014,0.000487014
145,243.178,0.90026,0.59696,1.36825,0.99752,1,0.995,0.91222,0.38813,0.34043,0.842,0.000478762,0.000478762,0.000478762
146,244.948,0.59968,0.50045,0.98951,0.99826,1,0.995,0.91892,0.40587,0.3408,0.85023,0.000470511,0.000470511,0.000470511
147,246.59,0.66138,0.56801,1.0671,0.99875,1,0.995,0.91549,0.4289,0.34092,0.86339,0.000462259,0.000462259,0.000462259
148,248.223,0.61825,0.53508,1.02171,0.99899,1,0.995,0.92207,0.46109,0.3181,0.88079,0.000454007,0.000454007,0.000454007
149,249.729,0.66483,0.50881,1.05179,0.99906,1,0.995,0.91497,0.45741,0.30279,0.88067,0.000445756,0.000445756,0.000445756
150,251.275,0.62926,0.50468,0.96905,0.99898,1,0.995,0.92149,0.44289,0.30906,0.87814,0.000437504,0.000437504,0.000437504
151,252.856,0.64799,0.62683,0.9586,0.9989,1,0.995,0.92465,0.41435,0.29881,0.86519,0.000429253,0.000429253,0.000429253
152,254.615,0.59739,0.50652,1.00582,0.99886,1,0.995,0.91609,0.39332,0.28293,0.841,0.000421001,0.000421001,0.000421001
153,256.189,0.58885,0.4978,0.98716,0.9988,1,0.995,0.9191,0.37309,0.27222,0.8297,0.000412749,0.000412749,0.000412749
154,257.708,0.81704,0.57179,1.37263,0.99876,1,0.995,0.91208,0.35218,0.27495,0.82053,0.000404498,0.000404498,0.000404498
155,259.23,0.76342,0.71441,1.10789,0.99879,1,0.995,0.91935,0.34512,0.28521,0.81637,0.000396246,0.000396246,0.000396246
156,260.893,0.8361,0.91121,1.16618,0.99887,1,0.995,0.91603,0.37451,0.3016,0.82564,0.000387994,0.000387994,0.000387994
157,262.523,0.84855,1.35131,1.11402,0.99902,1,0.995,0.92404,0.38879,0.29684,0.83299,0.000379743,0.000379743,0.000379743
158,264.144,0.73995,0.63406,1.16209,0.99936,1,0.995,0.91285,0.4029,0.29356,0.83472,0.000371491,0.000371491,0.000371491
159,265.663,0.62277,0.54016,1.0172,0.99936,1,0.995,0.91211,0.39472,0.287,0.82776,0.000363239,0.000363239,0.000363239
160,267.228,0.58224,0.50646,1.0647,0.99963,1,0.995,0.9457,0.32549,0.2506,0.80221,0.000354988,0.000354988,0.000354988
161,268.741,0.7283,0.72608,1.09556,0.99992,1,0.995,0.94908,0.32297,0.26392,0.80173,0.000346736,0.000346736,0.000346736
162,270.212,0.51333,1.54853,0.79289,0.99995,1,0.995,0.94314,0.32252,0.25897,0.80091,0.000338484,0.000338484,0.000338484
163,271.679,0.72436,0.56257,1.03236,1,0.99993,0.995,0.9507,0.30419,0.2462,0.79542,0.000330233,0.000330233,0.000330233
164,273.297,0.53636,0.45312,0.96008,1,0.99979,0.995,0.92672,0.33812,0.26289,0.80646,0.000321981,0.000321981,0.000321981
165,274.856,0.60929,0.54209,0.99535,0.99972,1,0.995,0.9203,0.37634,0.27334,0.81641,0.000313729,0.000313729,0.000313729
166,276.392,0.52585,0.55551,0.9807,0.99942,1,0.995,0.92036,0.3661,0.26274,0.8141,0.000305478,0.000305478,0.000305478
167,277.912,0.69884,0.55141,1.02131,0.99918,1,0.995,0.93122,0.3284,0.25009,0.80269,0.000297226,0.000297226,0.000297226
168,279.468,0.52977,0.42161,0.99546,0.999,1,0.995,0.95504,0.2769,0.23893,0.78687,0.000288974,0.000288974,0.000288974
